01/10/2018 14:26:55;5bb21290b50682001002bdd3;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);35;O;0;0;1;0.015;"print(""Hello World"")"
01/10/2018 14:27:02;5bb21296b50682001002bdd4;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);98;O;0;0;1;0.016;"print(""Hello World"")?"
01/10/2018 14:27:10;5bb2129eb50682001002bdd7;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);77;O;0;1;1;0.036;"print (""hello world"")?"
01/10/2018 14:27:13;5bb212a1b50682001002bdd8;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);54;O;1;0;1;0.159;hello word?print:(’Hello World’)
01/10/2018 14:27:16;5bb212a4b50682001002bdd9;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);147;O;0;0;1;0.016;"print (""Hello World"")"
01/10/2018 14:27:17;5bb212a5b50682001002bddb;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);172;O;0;1;1;0.036;print('Hello Worl')
01/10/2018 14:27:18;5bb212a7b50682001002bddd;EX03 - Saisie (5ba220b27c4cd1000f02b7f0);99;O;0;3;3;0.052;# Votre code ici?input=('Nom?'\n)?print('Bonjour ', input, 'comment allez-vous ?')
01/10/2018 14:27:26;5bb212afb50682001002bdde;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);172;O;0;0;1;0.016;print('Hello World')
01/10/2018 14:27:38;5bb212bab50682001002bde0;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);114;O;0;1;3;0.043;myvar = 3?print('my var')
01/10/2018 14:27:39;5bb212bcb50682001002bde1;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);172;O;0;0;1;0.015;print('Hello World')
01/10/2018 14:28:06;5bb212d6b50682001002bde2;EX03 - Saisie (5ba220b27c4cd1000f02b7f0);99;O;0;3;3;0.052;# Votre code ici?input=('Nom?')?print('Bonjour ', input, 'comment allez-vous ?')
01/10/2018 14:28:08;5bb212d9b50682001002bde4;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);35;O;1;0;1;0.166;myvar = 5?print myvar
01/10/2018 14:28:11;5bb212dbb50682001002bde5;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);77;O;0;0;1;0.016;"print (""Hello World"")?"
01/10/2018 14:28:14;5bb212deb50682001002bde6;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);114;O;0;2;3;0.045;'my var' == '3'?print('my var')
01/10/2018 14:28:39;5bb212f7b50682001002bde9;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);35;O;0;1;3;0.042;myvar = 5?print (myvar)
01/10/2018 14:28:46;5bb212feb50682001002bdea;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);65;O;0;0;1;0.016;# Votre code ici?print('Hello World')
01/10/2018 14:28:54;5bb21306b50682001002bdeb;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);77;O;0;1;1;0.035;"print (""Hello World This is me"")?"
01/10/2018 14:29:10;5bb21316b50682001002bdee;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);77;O;0;0;1;0.016;"print (""Hello World"")?"
01/10/2018 14:29:17;5bb2131db50682001002bdf0;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);147;O;0;2;3;0.045;myvar=3
01/10/2018 14:29:29;5bb21329b50682001002bdf1;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);147;O;0;2;3;0.044;myvar = 3
01/10/2018 14:29:33;5bb2132eb50682001002bdf3;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);172;O;1;0;1;0.079;Print('saisir une variable')?Input('Myvar')?Print('Myvar')
01/10/2018 14:29:38;5bb21332b50682001002bdf4;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);147;O;0;2;3;0.045;myvar = 3
01/10/2018 14:29:38;5bb21333b50682001002bdf5;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);100;O;0;1;1;0.038;# Votre code ici?print ('Hello World! koba lad')
01/10/2018 14:29:44;5bb21338b50682001002bdf6;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);172;O;1;0;1;0.080;Input('Myvar')?Print('Myvar')
01/10/2018 14:29:51;5bb2133fb50682001002bdf8;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);114;O;0;1;3;0.042;myvar = 3?print('myvar')
01/10/2018 14:29:54;5bb21343b50682001002bdf9;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);65;O;1;0;1;0.164;# Votre code ici?myvar = 1?print myvar
01/10/2018 14:30:01;5bb21349b50682001002bdfa;EX01 - Hello World (5ba220b67c4cd1000f02b7f8);100;O;0;1;1;0.036;# Votre code ici?print ('Hello World!')
01/10/2018 14:30:05;5bb2134db50682001002bdfb;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);65;O;0;1;3;0.042;# Votre code ici?myvar = 1?print (myvar)
01/10/2018 14:30:06;5bb2134eb50682001002bdfc;EX02 - Affectation (5ba220b47c4cd1000f02b7f4);147;O;0;1;3;0.042;"myvar = 3?print(""myvar"")"
